,ksat,kmin,kdry,mysat,rsat,kmin_fls
0,18876503760.86843,27887720564.673477,7347.21193855932,5267.646063614087,6216.160844240991,27887720564.673477
1,7127012475.812124,11569459067.355438,7344.066064941662,5267.381413828419,4250.470114780645,11569459067.355438
2,4013763385.6861525,11000000000.0,7262.7044599882065,5220.757158360361,4181.068722066974,11000000000.0
3,7863967271.269894,20611323956.518044,7296.592007412059,5244.893913556446,5617.027958827173,20611323956.518044
4,8235596350.713974,13631485029.85936,7385.935771609958,5301.861576238066,4718.626810753222,13631485029.85936
5,14322202170.06578,21100377599.892906,7450.824912335964,5344.981873507296,5759.518486909301,21100377599.892906
6,4405230720.659699,17182693485.60836,7330.814204730664,5274.188526116863,5259.683872123612,17182693485.60836
7,7385046959.015867,16531461858.509293,7408.687932370582,5324.553802847121,5217.301101613281,16531461858.509293
8,9564420267.90431,17593469211.203674,7460.864447446942,5359.367202822779,5382.198702245104,17593469211.203674
9,11328511337.627022,20025891961.619045,7490.192041221456,5380.275766589597,5688.8185405532695,20025891961.619045
10,15616320191.094685,19659221184.02366,7509.514040487582,5394.922239335451,5670.966623673443,19659221184.02366
11,12890026064.273535,29918991582.992004,7530.902517757632,5411.109303328341,6496.941439155923,29918991582.992004
12,6549775723.662113,11000000000.0,7425.393282801717,5348.560769689162,4330.656543736785,11000000000.0
13,15096559190.282476,27982039467.008175,7545.122552074557,5425.382100555765,6397.329384566897,27982039467.008175
14,3191006918.704881,18865516294.820374,7369.370133853367,5320.319377150974,5515.527876484481,18865516294.820374
15,6869461560.224181,15131756052.01435,7478.513333517956,5389.839688006738,5127.540342166595,15131756052.01435
16,3367666100.5301585,14216709298.840279,7293.628042178242,5279.757042672174,5015.250984872809,14216709298.840279
17,6566970293.551224,11000000000.0,7543.588444158816,5435.009655363016,4360.316481462101,11000000000.0
18,11555136455.070084,20089696135.12194,7634.349873001123,5493.961651422594,5821.136423922046,20089696135.12194
19,9591417733.964598,20223700158.02024,7618.78601124416,5487.194362330637,5832.8613513515875,20223700158.02024
20,11752457863.628767,17809536441.734543,7600.587622216966,5478.77046280312,5572.331424788385,17809536441.734543
21,3824637983.745933,35000295291.43179,7483.276933640593,5409.571879427685,6604.152773113421,35000295291.43179
22,9131157436.199354,22107763595.0061,7657.858152594304,5519.596497742723,6051.146593068048,22107763595.0061
23,4131340499.730637,33721518548.329613,7551.418367763992,5457.0083446902,6630.515267661,33721518548.329613
24,10686653861.128996,30153730176.870544,7526.313153714917,5444.345994880382,6490.133414852536,30153730176.870544
25,4375389669.179896,16035726068.92247,7634.376342230689,5513.4586872438,5366.51617817974,16035726068.92247
26,7166040473.691785,16565506581.81987,7720.157348207021,5568.938452526151,5476.870223812987,16565506581.81987
27,4311865443.549589,21685527545.55138,7571.397125318277,5480.364961467836,5968.96663870805,21685527545.55138
28,2630591470.7311463,11000000000.0,7567.958698250323,5480.98228068815,4558.195364799689,11000000000.0
29,3026011633.0286865,25269381208.69107,7545.40165074518,5469.89347171588,6182.827287855617,25269381208.69107
30,4660409890.674278,11000000000.0,7512.049339812729,5452.203298381665,4705.615229896168,11000000000.0
31,5623442095.101406,29446560299.637398,7612.837573118155,5516.865421346304,6509.697489754048,29446560299.637398
32,3933390601.095272,11000000000.0,7618.588009820029,5523.156244730268,4655.931346623023,11000000000.0
33,5432159842.136047,11372742597.914894,7753.440681156855,5608.880904137116,4672.938442118394,11372742597.914894
34,5013848892.898674,22043086378.421013,7656.94608441562,5552.260058051388,6092.247390091664,22043086378.421013
35,8022713406.339366,32492698692.495613,7643.428259310977,5546.694995735542,6684.233375280657,32492698692.495613
36,5825038020.864405,25387020782.46415,7760.33480319058,5621.402842745886,6410.060638092717,25387020782.46415
37,5161730129.084184,11000000000.0,7750.32426444379,5618.048432442033,4692.008203790628,11000000000.0
38,22684409963.85857,28301072087.46094,7941.230450374289,5738.285142664209,6781.344723881945,28301072087.46094
39,3704004530.3485312,31150153542.701206,7711.387109199992,5599.51741485057,6648.48277833295,31150153542.701206
40,7187759823.660228,12670459761.744434,7768.628802012714,5637.531146866761,5095.506477093202,12670459761.744434
41,9562539268.652895,23587733230.3574,7923.107250956495,5735.428710210947,6424.8741289897725,23587733230.3574
42,3218662295.770699,12697158016.147018,7829.40657123074,5680.519910801533,5059.703737429054,12697158016.147018
43,4772320253.56184,34027244044.032364,7868.922366726787,5707.523435599717,6944.141780645584,34027244044.032364
44,11285581121.948185,14607272117.485466,8026.0730198909505,5807.311921114471,5426.227349888608,14607272117.485466
45,2932363100.759343,22382210998.30748,7816.189897657317,5680.472480546706,6222.44665772417,22382210998.30748
46,9059724849.90342,14774287268.946114,8036.981992557571,5819.603668398404,5479.510750860326,14774287268.946114
47,4197136827.32614,23212956871.30858,7830.440452492159,5694.7106109376455,6331.3784186926305,23212956871.30858
48,7077857227.090556,13321612874.829552,8041.063855609946,5827.737191142247,5247.254575761795,13321612874.829552
49,2246762609.2692723,12297687899.846596,7814.567496055455,5690.154731891678,5111.1893878762585,12297687899.846596
50,8236953714.579372,14431565397.318077,8098.946915218528,5868.906307398182,5471.278654554507,14431565397.318077
51,3198124087.2625027,12626157461.974213,7859.436897741509,5723.324989652899,5223.699619323071,12626157461.974213
52,8438901707.320481,11680497633.663685,8142.268396498479,5901.33676792912,4939.452922542067,11680497633.663685
53,3155562925.652659,17973022073.635067,7963.525162710746,5793.201223099018,5950.683516283928,17973022073.635067
54,28552659722.8709,32221161403.12648,8199.906981959222,5941.738708834806,7239.720163183976,32221161403.12648
55,5063689922.596955,11552530574.111938,7989.116719287134,5814.622529118503,5069.9194890151975,11552530574.111938
56,5811585042.6200285,11000000000.0,7934.820086278777,5783.431187754789,5035.018656451877,11000000000.0
57,6114087052.660087,17040561448.607494,8065.542853825049,5867.19141047338,5947.6085681423465,17040561448.607494
58,5211138432.557848,11051355984.148659,7990.317031057121,5823.309294220472,5044.406024328414,11051355984.148659
59,4390488628.714876,32025786812.879868,7982.144909195167,5821.114559283229,6939.830247790551,32025786812.879868
60,3603733722.283217,33920304713.124447,8086.393345307528,5888.181291120284,7109.550101201952,33920304713.124447
61,4006130568.07723,27556264771.092175,7980.918491502851,5825.628863536196,6731.922769879237,27556264771.092175
62,5554511074.814208,30191703277.15135,8196.296852434443,5961.420710224115,7079.658855979198,30191703277.15135
63,2360712810.93215,31979931943.410507,7998.660111751828,5842.161392808707,6888.746333633591,31979931943.410507
64,6119540092.21699,17038365371.796474,8213.088969637894,5977.554295604921,6043.768955492371,17038365371.796474
65,6637953254.6727495,14984162884.611141,8255.776966776226,6006.909111350947,5770.856459916255,14984162884.611141
66,2832785501.295978,12556428432.78806,8070.799554811999,5894.259349871806,5407.509813650765,12556428432.78806
67,2972101388.7692637,14474599408.117016,8029.954045375828,5871.1321670179095,5729.643192478308,14474599408.117016
68,6664317100.343547,29137432697.87611,8274.391426590519,6026.019357251924,7103.546092179893,29137432697.87611
69,2701123612.5052857,19616930174.98754,8144.765422893717,5948.372785675131,6299.359927298401,19616930174.98754
70,12946141674.205214,21209841698.570618,8418.788299399834,6120.980136805699,6644.747843157965,21209841698.570618
