,ksat,kmin,kdry,mysat,rsat,kmin_fls
0,19498130070.64352,29331485184.517784,7343.967086549754,5265.518207107541,6216.160844240991,29331485184.517784
1,7206076680.687934,11792937908.900894,7336.843267482286,5263.903549219865,4250.470114780645,11792937908.900894
2,4013763381.975264,11000000000.0,7253.504707012169,5215.387512007493,4181.068722066974,11000000000.0
3,8087039990.155398,22452397668.0364,7291.18811319737,5241.346531198382,5617.027958827173,22452397668.0364
4,8531073072.238311,14518275728.234781,7380.12681761601,5298.847272379085,4718.626810753222,14518275728.234781
5,15133770248.569902,22951111240.167694,7448.683127353347,5343.805001448215,5759.518486909301,22951111240.167694
6,4490041620.722448,18766018598.287083,7325.191534910684,5270.57940609888,5259.683872123612,18766018598.287083
7,7645771041.109658,18023484293.69874,7403.738820090171,5321.685427747799,5217.301101613281,18023484293.69874
8,10004103605.58839,19226867398.0018,7457.127499196308,5357.30923027465,5382.198702245104,19226867398.0018
9,11867663519.876644,21847142311.39479,7487.372437271682,5378.690730628728,5688.8185405532695,21847142311.39479
10,16694026088.935024,21463303153.594917,7506.928051202975,5393.494185355678,5670.966623673443,21463303153.594917
11,13095276761.839975,31081642716.18975,7529.33164002604,5410.050240016026,6496.941439155923,31081642716.18975
12,6549775722.644258,11000000000.0,7419.174470400591,5345.03044332344,4330.656543736785,11000000000.0
13,15487160388.891031,29414140667.51577,7543.213763297156,5424.131546644405,6397.329384566897,29414140667.51577
14,3228725092.0748563,20619327692.194397,7365.589694972451,5317.593658444584,5515.527876484481,20619327692.194397
15,7085314325.207824,16374559159.278038,7474.411932121991,5387.330419767378,5127.540342166595,16374559159.278038
16,3407782401.303339,15254063412.42229,7289.993076585724,5276.611124052751,5015.250984872809,15254063412.42229
17,6566970292.831445,11000000000.0,7539.156615076631,5432.711763124082,4360.316481462101,11000000000.0
18,12118684961.416271,21913555121.722572,7632.8129456108745,5493.115658837462,5821.136423922046,21913555121.722572
19,9962729363.41026,22052677497.246094,7616.783449705845,5486.020584434366,5832.8613513515875,22052677497.246094
20,12394301584.080688,19467018806.603138,7598.188144666599,5477.346550564066,5572.331424788385,19467018806.603138
21,3826780274.652421,35220185452.61211,7481.732195571144,5408.450581889934,6604.152773113421,35220185452.61211
22,9414666566.844732,23959589996.058193,7656.319194203803,5518.657965663879,6051.146593068048,23959589996.058193
23,4137460561.027169,34207367225.025562,7550.095582179767,5456.058819802934,6630.515267661,34207367225.025562
24,10799554910.206116,31280025846.602497,7524.999436284003,5443.384268482461,6490.133414852536,31280025846.602497
25,4463163339.438445,17448019155.857216,7632.598317227958,5512.368195217203,5366.51617817974,17448019155.857216
26,7417464874.738273,18062674483.18318,7718.944472617795,5568.273521610951,5476.870223812987,18062674483.18318
27,4367928442.882465,23539897775.180912,7570.262943799961,5479.546426953822,5968.96663870805,23539897775.180912
28,2630591469.807549,11000000000.0,7566.363267466642,5479.915856902549,4558.195364799689,11000000000.0
29,3043935900.473499,26977297570.94039,7544.728433836366,5469.371343899304,6182.827287855617,26977297570.94039
30,4660409890.376421,11000000000.0,7511.152592769786,5451.4785186275585,4705.615229896168,11000000000.0
31,5658448626.26968,30680026945.168884,7612.5035344026755,5516.6175596324165,6509.697489754048,30680026945.168884
32,3933390600.9310765,11000000000.0,7618.190156582785,5522.886250204788,4655.931346623023,11000000000.0
33,5462102242.686289,11521137611.95388,7753.347292437162,5608.829103038253,4672.938442118394,11521137611.95388
34,5086084427.896742,23895577043.85748,7657.063662562714,5552.346869269361,6092.247390091664,23895577043.85748
35,8056694015.4501505,33216828006.562317,7643.647683537066,5546.860112945888,6684.233375280657,33216828006.562317
36,5898209810.694148,27085681459.90766,7760.760397375284,5621.698706077097,6410.060638092717,27085681459.90766
37,5161730129.39749,11000000000.0,7751.436466919942,5618.730133489196,4692.008203790628,11000000000.0
38,23549703065.191513,29692684898.980934,7941.532918372281,5738.4817959214,6781.344723881945,29692684898.980934
39,3714476320.573325,32113777184.850693,7712.161821993649,5600.099582765327,6648.48277833295,32113777184.850693
40,7344001067.765737,13275085513.15422,7770.4237223537175,5638.722290679215,5095.506477093202,13275085513.15422
41,9826710483.881096,25398411251.77353,7924.202257487222,5736.1244661459805,6424.8741289897725,25398411251.77353
42,3250830663.4644423,13310236361.193521,7831.73876400794,5681.993085543348,5059.703737429054,13310236361.193521
43,4779458532.896715,34451129514.861145,7870.149098979476,5708.399445525833,6944.141780645584,34451129514.861145
44,11930484333.401642,15736660683.390251,8027.343087541694,5807.903438487196,5426.227349888608,15736660683.390251
45,2956065667.6717267,24230131886.73779,7818.2341009058,5681.990215942031,6222.44665772417,24230131886.73779
46,9467975192.52428,15941036789.892216,8038.944817441921,5820.5814261181085,5479.510750860326,15941036789.892216
47,4241343068.8485584,25038627930.210144,7832.752416829233,5696.463025741066,6331.3784186926305,25038627930.210144
48,7284467899.348244,14122292887.42235,8044.05089853896,5829.262091408588,5247.254575761795,14122292887.42235
49,2258556277.6591268,12780477754.436394,7818.593580826158,5693.288357431482,5111.1893878762585,12780477754.436394
50,8567193440.7041,15520366523.306139,8101.509953044924,5870.159971104567,5471.278654554507,15520366523.306139
51,3226181096.0331445,13216677415.66036,7863.985215756702,5726.760132773357,5223.699619323071,13216677415.66036
52,8572554585.340948,11945393755.06472,8145.061645758799,5902.499474313107,4939.452922542067,11945393755.06472
53,3195013759.213153,19647716561.515045,7967.623097626323,5796.075752385431,5950.683516283928,19647716561.515045
54,29154512194.69726,32995536162.878452,8200.405611321636,5942.095760813313,7239.720163183976,32995536162.878452
55,5097628762.180422,11769634313.015705,7995.477726034031,5818.755523713249,5069.9194890151975,11769634313.015705
56,5811585044.093666,11000000000.0,7941.443870030403,5788.273150787937,5035.018656451877,11000000000.0
57,6276622931.006547,18605225430.34365,8070.661794476644,5870.561104293322,5947.6085681423465,18605225430.34365
58,5214813036.492924,11072285951.06505,7997.7001613437715,5828.430868519244,5044.406024328414,11072285951.06505
59,4401945879.854518,32835756823.23581,7985.561123977686,5823.729922447804,6939.830247790551,32835756823.23581
60,3607901259.224432,34365982405.65479,8089.8894720861845,5890.701213591495,7109.550101201952,34365982405.65479
61,4028452688.347657,29039889706.303078,7984.853318325822,5828.832811277427,6731.922769879237,29039889706.303078
62,5587617695.657566,31312045969.4912,8200.12891471228,5964.079332130633,7079.658855979198,31312045969.4912
63,2363919125.723652,32798188028.908257,8002.437573262745,5845.192352777074,6888.746333633591,32798188028.908257
64,6288957203.375448,18602735553.39286,8219.49348563388,5981.534452697773,6043.768955492371,18602735553.39286
65,6845273992.49011,16196203871.152668,8262.652601736341,6010.863139530055,5770.856459916255,16196203871.152668
66,2853993323.256875,13124544113.393528,8079.203503788667,5900.740617716101,5407.509813650765,13124544113.393528
67,3003288510.4569798,15573463829.93224,8036.761649402524,5877.391784247709,5729.643192478308,15573463829.93224
68,6721927302.957172,30415499231.86297,8279.273575422909,6029.39912333717,7103.546092179893,30415499231.86297
69,2725814215.8126082,21418790557.053204,8151.572777310135,5953.583247575469,6299.359927298401,21418790557.053204
70,13598279916.03612,23061902213.017006,8421.85049685316,6122.677228832715,6644.747843157965,23061902213.017006
71,5353567015.254349,11000000000.0,8333.122084487808,6070.8443596848065,5092.135418876899,11000000000.0
72,2914730851.182967,16259023995.929176,8152.473340459543,5962.445132590486,5856.079530097787,16259023995.929176
73,4399579369.4867735,22214617157.26364,8200.251975516123,5994.616600317617,6457.5726541439535,22214617157.26364
74,5284597507.24385,19747154652.121033,8376.4270928118,6105.801287884182,6294.488964160596,19747154652.121033
75,3574760498.2578382,11000000000.0,8296.159283993073,6059.174943995738,5200.035623547811,11000000000.0
76,4921159306.734421,31462346869.291237,8312.391397312635,6071.93316757701,7176.043600126246,31462346869.291237
77,11463232606.721823,13216070835.171402,8518.590377849578,6201.594078676657,5495.479686844735,13216070835.171402
