,ksat,kmin,kdry,mysat,rsat,kmin_fls
0,22245769177.597385,27887720564.673477,19604136309.95475,17398363170.273006,2183.681175832516,28674244070.509624
1,7505580258.215457,11569459067.355438,6297200054.260756,3810261098.9989214,290.4155048580135,12690406317.561428
2,4185807697.228343,11000000000.0,3294491222.325766,2320917787.365003,220.71383109105926,12090502237.692688
3,14072688762.853664,20611323956.518044,8090005879.067793,6516911908.917032,1580.2485439681868,21788149952.137264
4,12267665030.765133,13631485029.85936,7551125307.552032,4904238479.495241,705.5178243420413,14832799217.683804
5,20422025675.27483,21100377599.892906,17870476193.33127,13118560307.756233,1686.2857384338138,22260990842.35658
6,6871625249.681888,17182693485.60836,6136252992.920185,4751183833.278065,1198.7577676898095,18423341125.692303
7,13583897034.144873,16531461858.509293,8251078945.979012,5935903917.595287,1149.9859849714294,17773512805.86632
8,12241609888.351984,17593469211.203674,11303814898.650572,7928779713.643972,1283.348385959277,18831375615.487648
9,18292138587.406597,20025891961.619045,14461313236.200918,10572176130.698296,1569.3593457620955,21219914656.93683
10,17084251750.365826,19659221184.02366,14649219473.741344,10549311108.49625,1532.1146901729956,20862753580.379402
11,26862417058.735523,29918991582.992004,23968917048.01197,22550072919.40868,2320.8514587049513,30549269126.17629
12,5969010886.047653,11000000000.0,3571415695.2378063,2462128104.247945,227.19541302268428,12090502237.692688
13,21126126655.448414,27982039467.008175,20179949271.059013,17956533527.649185,2190.424061063657,28761689721.99511
14,5435809927.337034,18865516294.820374,4801016235.406577,4003607801.740034,1344.5620481728092,20086196569.55722
15,7314615528.412731,15131756052.01435,5641023305.010002,4175333429.7085924,950.3525739881966,16364067900.324772
16,3171637200.8534555,14216709298.840279,2158985973.082254,1872164936.5607853,840.4953037296132,15432746687.878971
17,9654818750.851461,11000000000.0,4612036837.486978,2956376134.816677,197.66565200974802,12090502237.692688
18,16169484426.255634,20089696135.12194,15642606680.157816,11311346246.837894,1574.6334945890878,21281963868.783394
19,13592022682.38439,20223700158.02024,12720121219.512426,9548460104.744097,1573.270759913222,21412186385.835167
20,14365170580.62624,17809536441.734543,8960166278.244411,6617399661.2216425,1308.8818877644528,19045437658.225216
21,17382668135.618587,35000295291.43179,11708507708.184885,11383523472.173452,2323.0457602263823,35177065708.45122
22,14358663825.76508,22107763595.0061,13574155288.220245,10658845198.230452,1744.0959284183061,23229888923.571796
23,18553948400.650738,33721518548.329613,12841494096.720947,12361839153.340706,2321.763467402973,34019458224.97764
24,14881298568.995972,30153730176.870544,9305516482.408287,8570817847.373447,2127.912304417356,30764900345.946274
25,12082478690.004137,16035726068.92247,6313925149.082679,4706152903.0788145,1083.3985719054585,17276358790.93285
26,14662737391.571396,16565506581.81987,9991516153.848755,6913217119.628862,1156.3207907176075,17807575199.716743
27,12071285618.788265,21685527545.55138,5973638411.044942,5081479330.793515,1629.5718748966447,22824601943.624275
28,7714047450.787142,11000000000.0,2277710244.3114405,1756684977.843564,305.58179142925934,12090502237.692688
29,11803286433.771172,25269381208.69107,5851438337.254635,5237291531.312808,1830.4262161853344,26230083417.0047
30,3711192119.748245,11000000000.0,1586282377.7424364,1331245192.4314995,361.6843946665734,12090502237.692688
31,9679235189.622572,29446560299.637398,8394969946.251858,7694890627.6778755,2062.204744015992,30114659774.128998
32,3410409983.935377,11000000000.0,2195834059.518005,1708001423.2737565,290.3898182662582,12090502237.692688
33,5429703350.029371,11372742597.914894,4132707958.0186124,2796658176.545563,285.9811011756183,12483591665.696499
34,11721992479.546856,22043086378.421013,5654632569.871969,4865884749.299236,1646.4619413583416,23167883018.755066
35,14484966052.519787,32492698692.495613,8705108159.213406,8224434349.3021755,2174.9906284003337,32902992501.076218
36,15376517305.102749,25387020782.46415,9302530300.825127,8050013339.253801,1924.3954644394103,26340628432.45116
37,8335377923.243732,11000000000.0,2867923390.241107,2091168828.1794581,266.38518630772194,12090502237.692688
38,25399454275.834248,28301072087.46094,23684925731.251675,21339826988.855255,2234.677675573691,29057186774.966393
39,14284662601.760302,31150153542.701206,8426944958.539293,7862535545.062195,2131.3263212406378,31677997010.962265
40,8732513785.334213,12670459761.744434,3066299780.1906285,2364436276.5083194,598.6936353824119,13839983973.200756
41,14296023335.967167,23587733230.3574,13201456273.869461,10778743470.237951,1855.5284561079,24641584417.202003
42,9231812352.80162,12697158016.147018,3556653720.4023585,2657858399.0937924,588.4348327073691,13867696456.03888
43,14692758979.334805,34027244044.032364,14102444370.44394,13697765587.3819,2330.6246429716794,34296587738.542507
