,ksat,kmin,kdry,mysat,rsat,kmin_fls
0,21202153014.32424,27887720564.673477,19604136309.95475,17398363170.273006,2182.213226904984,28674244070.509624
1,6799118732.36442,11569459067.355438,6297200054.260756,3810261098.9989214,272.840509723731,12690406317.561428
2,3634388882.4614563,11000000000.0,3294491222.325766,2320917787.365003,163.4409609752326,12090502237.692688
3,11756257653.998034,20611323956.518044,8090005879.067793,6516911908.917032,1568.1943260863716,21788149952.137264
4,10507220156.201368,13631485029.85936,7551125307.552032,4904238479.495241,696.7252425829666,14832799217.683804
5,19111718072.125072,21100377599.892906,17870476193.33127,13118560307.756233,1681.6326771143365,22260990842.35658
6,6408118879.819793,17182693485.60836,6136252992.920185,4751183833.278065,1137.1203749169367,18423341125.692303
7,10974684879.784945,16531461858.509293,8251078945.979012,5935903917.595287,1135.0590542401515,17773512805.86632
8,11674772895.865488,17593469211.203674,11303814898.650572,7928779713.643972,1267.7314420286577,18831375615.487648
9,16359234347.967545,20025891961.619045,14461313236.200918,10572176130.698296,1561.5429311472685,21219914656.93683
10,16141338237.146338,19659221184.02366,14649219473.741344,10549311108.49625,1530.7314225008884,20862753580.379402
11,24874668558.051563,29918991582.992004,23968917048.01197,22550072919.40868,2310.639824020281,30549269126.17629
12,4721795020.3011265,11000000000.0,3571415695.2378063,2462128104.247945,213.68033401535004,12090502237.692688
13,20562715315.42607,27982039467.008175,20179949271.059013,17956533527.649185,2182.0718645119973,28761689721.99511
14,5032061950.4393635,18865516294.820374,4801016235.406577,4003607801.740034,1248.2574029877828,20086196569.55722
15,6339618412.516235,15131756052.01435,5641023305.010002,4175333429.7085924,928.7188140375373,16364067900.324772
16,2548302749.3145857,14216709298.840279,2158985973.082254,1872164936.5607853,769.7056809929433,15432746687.878971
17,7990096269.4682045,11000000000.0,4612036837.486978,2956376134.816677,186.7764814621011,12090502237.692688
18,15841971265.09301,20089696135.12194,15642606680.157816,11311346246.837894,1561.337035598817,21281963868.783394
19,13055110731.632204,20223700158.02024,12720121219.512426,9548460104.744097,1554.8719742809578,21412186385.835167
20,13877208439.333712,17809536441.734543,8960166278.244411,6617399661.2216425,1307.3796965545491,19045437658.225216
21,13475579860.95349,35000295291.43179,11708507708.184885,11383523472.173452,2272.4096268851695,35177065708.45122
22,13869396332.100235,22107763595.0061,13574155288.220245,10658845198.230452,1721.8495271031418,23229888923.571796
23,14521065476.505175,33721518548.329613,12841494096.720947,12361839153.340706,2274.1483163041717,34019458224.97764
24,14272795280.2272,30153730176.870544,9305516482.408287,8570817847.373447,2127.258448967415,30764900345.946274
25,8293346575.16075,16035726068.92247,6313925149.082679,4706152903.0788145,1044.295707985198,17276358790.93285
26,11842863125.431864,16565506581.81987,9991516153.848755,6913217119.628862,1137.9255409530697,17807575199.716743
27,8467430360.459062,21685527545.55138,5973638411.044942,5081479330.793515,1591.7206812459392,22824601943.624275
28,4117887196.780022,11000000000.0,2277710244.3114405,1756684977.843564,236.1553647996892,12090502237.692688
29,7732770065.1403675,25269381208.69107,5851438337.254635,5237291531.312808,1766.0534288843223,26230083417.0047
30,2560674529.7399116,11000000000.0,1586282377.7424364,1331245192.4314995,335.84587911170894,12090502237.692688
31,8897655322.136414,29446560299.637398,8394969946.251858,7694890627.6778755,2023.3421470270773,30114659774.128998
32,2672147399.8419127,11000000000.0,2195834059.518005,1708001423.2737565,237.64064445681873,12090502237.692688
33,4649908524.157608,11372742597.914894,4132707958.0186124,2796658176.545563,253.82058746889294,12483591665.696499
34,8708124893.329876,22043086378.421013,5654632569.871969,4865884749.299236,1619.1077334298616,23167883018.755066
35,13355474456.108713,32492698692.495613,8705108159.213406,8224434349.3021755,2168.298539278853,32902992501.076218
36,11966879056.79331,25387020782.46415,9302530300.825127,8050013339.253801,1898.424048505741,26340628432.45116
37,6347950995.073936,11000000000.0,2867923390.241107,2091168828.1794581,248.46820379062774,12090502237.692688
38,24726928882.4596,28301072087.46094,23684925731.251675,21339826988.855255,2233.876575468207,29057186774.966393
39,10489787197.412205,31150153542.701206,8426944958.539293,7862535545.062195,2081.3890656156336,31677997010.962265
40,8218054920.303721,12670459761.744434,3066299780.1906285,2364436276.5083194,595.5395409989577,13839983973.200756
41,13625344562.729263,23587733230.3574,13201456273.869461,10778743470.237951,1836.0628142186222,24641584417.202003
42,5485866798.881504,12697158016.147018,3556653720.4023585,2657858399.0937924,532.5053538802881,13867696456.03888
43,14313303513.068789,34027244044.032364,14102444370.44394,13697765587.3819,2264.4703772673074,34296587738.542507
44,12013572462.288692,14607272117.485466,11603524611.720854,7024050539.010571,852.0373127758019,15831245875.158268
45,7422836557.868351,22382210998.30748,5674599133.409428,4904627301.461171,1599.517601736941,23492702973.37905
46,12176845375.433474,14774287268.946114,10133865004.457457,6439964763.504751,882.1292588971445,16001202004.102634
47,8200087936.289684,23212956871.30858,5593487392.224199,4898262023.34827,1678.4172411816292,24285362204.950943
48,7895621478.198472,13321612874.829552,7525623091.310382,4809063518.399049,614.5246995610205,14513725921.071068
49,3710120961.469856,12297687899.846596,2027161077.296369,1685097365.9655895,493.02456566690444,13452251066.5742
50,10318129379.3664,14431565397.318077,10070165708.501478,6294159886.53131,806.2658607954215,15652153377.967846
51,4611247998.147302,12626157461.974213,2238531956.4722333,1841271278.9256852,575.6182043190428,13793981886.563843
52,10547170176.265448,11680497633.663685,8934886520.317602,4816772044.090939,286.56145876136515,12806951858.262627
